subject,regression_coef,value
231,X1,0.063765730011373
231,X2,-0.0947527985953547
231,X3,0.0803111185741407
232,X1,0.00221485812272365
232,X2,-0.0396755397227665
232,X3,-0.0464545017009542
233,X1,0.501004074829238
233,X2,0.207135815660918
233,X3,0.164642701022772
234,X1,1.6415105985834653
234,X2,0.456830950378948
234,X3,0.184682203435107
235,X1,0.574272897553571
235,X2,0.265868913664452
235,X3,-0.07330688558444931
236,X1,0.22856493282529244
236,X2,0.207687711141721
236,X3,-0.06515815473764686
237,X1,NA
237,X2,NA
237,X3,NA
238,X1,0.149688527909293
238,X2,0.133641699788641
238,X3,0.0696240418451382
239,X1,0.710997707246052
239,X2,0.245433969579592
239,X3,0.236978309809818
240,X1,0.0882094683454556
240,X2,-0.0150697649304015
240,X3,-0.0517440712148198
241,X1,0.0641482926363617
241,X2,0.072002196385391
241,X3,0.0475102775159695
242,X1,0.638296241392174
242,X2,0.197670594955235
242,X3,0.172480121406066
243,X1,0.184916243987609
243,X2,0.1328406875983525
243,X3,0.06630109594681445
244,X1,0.594834614431852
244,X2,0.125848303404146
244,X3,0.303308566741834
245,X1,NA
245,X2,NA
245,X3,NA
246,X1,0.0120182393294598
246,X2,-0.019309676209466
246,X3,0.0422242872105874
247,X1,0.196209734263981
247,X2,0.172492131352464
247,X3,0.252795855411153
248,X1,0.813082899208778
248,X2,-0.124720584181213
248,X3,0.066924548175919
249,X1,0.0326483511011776
249,X2,0.0670448290162786
249,X3,-0.0016355890410979
250,X1,0.152307658838681
250,X2,-0.020291581911132076
250,X3,-0.042600597499908965
251,X1,0.254861549454086
251,X2,-0.0222612640684298
251,X3,0.202557525964216
252,X1,0.981853182050787
252,X2,0.67547041641939
252,X3,0.436098108209868
253,X1,0.29151960258078
253,X2,0.111091117702509
253,X3,0.0903482501860255
254,X1,0.187036036818574
254,X2,0.167460098486842
254,X3,0.057399179314913
255,X1,0.259484636625448
255,X2,0.213434746600881
255,X3,0.0876615077768317
256,X1,0.09898643231418
256,X2,0.0785232141841793
256,X3,0.149185577374496
257,X1,0.0245247566698028
257,X2,0.0546233648620643
257,X3,-0.0470915695540528
258,X1,NA
258,X2,NA
258,X3,NA
259,X1,0.380918802714745
259,X2,0.166936798914779
259,X3,0.458566802543477
260,X1,1.06467639897034
260,X2,0.30595066152336503
260,X3,0.17437154939517815
261,X1,0.8020158859102025
261,X2,0.142837539295666
261,X3,0.2560177183178136
262,X1,0.243157097244157
262,X2,0.283073756637621
262,X3,0.0374603676405539
263,X1,0.26124629437688457
263,X2,0.1840712300295353
263,X3,0.1212056072166122
264,X1,0.754519854887257
264,X2,0.0814516822654266
264,X3,0.0260683137302029
265,X1,0.555747901177997
265,X2,0.447490759555614
265,X3,0.0825727630332367
266,X1,0.0053175758281498
266,X2,0.0332844192826715
266,X3,0.011446668816032802
267,X1,-0.00868736494786855
267,X2,0.00237525313303074
267,X3,0.020702397438403
268,X1,0.123522837784198
268,X2,0.222630286543971
268,X3,0.0164921003038221
269,X1,0.73638580610137
269,X2,0.274834538505552
269,X3,0.0417623919157275
270,X1,1.391560797218165
270,X2,0.430816890468838
270,X3,0.1247687927515835
271,X1,0.0553675934363472
271,X2,0.333205243500991
271,X3,0.188041814463827
272,X1,0.876027192496587
272,X2,0.2850431020767595
272,X3,0.2149401586856725
273,X1,0.493092445304601
273,X2,0.368680811969258
273,X3,-0.0117004908272174
274,X1,0.492501227689483
274,X2,-0.211377905578106
274,X3,0.186415788416202
275,X1,0.390796462257502
275,X2,0.222737581679784
275,X3,0.200277243610996
276,X1,0.616293109540592
276,X2,0.517818186766517
276,X3,0.355723126761982
277,X1,0.0251190360614746
277,X2,-0.0494321276668239
277,X3,0.0506634006058291
278,X1,0.8938243531819445
278,X2,0.4294893795694275
278,X3,-0.0566793145298536
279,X1,1.14526800753729
279,X2,0.061585413438981
279,X3,0.227729973519011
280,X1,0.739476291384854
280,X2,0.379880169144371
280,X3,-0.0137006011063021
281,X1,0.274570606772215
281,X2,0.112284848702129
281,X3,0.113921005076586
282,X1,0.43565931602435
282,X2,0.172342204033945
282,X3,-0.139554207855615
283,X1,0.0173388917905862
283,X2,0.504197252081061
283,X3,0.0134122736783861
284,X1,1.1233747923923199
284,X2,0.28650962104434896
284,X3,0.155103895601912
285,X1,0.205827181475803
285,X2,0.242043802035891
285,X3,0.209427281364007
286,X1,0.0374931059551431
286,X2,0.0856395901112717
286,X3,0.126270877063824
287,X1,0.747256110071613
287,X2,0.0913126385933121
287,X3,0.0275715554636187
288,X1,-0.00338277470073788
288,X2,0.0060024421681194
288,X3,-0.0256119755395924
289,X1,NA
289,X2,NA
289,X3,NA
290,X1,1.36491202559505
290,X2,0.465792219596039
290,X3,0.51254807403102
291,X1,0.793188785716524
291,X2,0.314800301332449
291,X3,0.428425142955563
292,X1,2.46687304976948
292,X2,0.488608124246766
292,X3,0.163030697054919
293,X1,0.53394109893325
293,X2,0.276515326522031
293,X3,0.379647674783469
294,X1,0.211669256596504
294,X2,0.121094230226062
294,X3,-0.0754319085946391
295,X1,1.91155985939708
295,X2,0.0311605568777637
295,X3,-0.0248381768607362
296,X1,0.55255916026827
296,X2,0.249484462202572
296,X3,0.241219796247809
