id,panas_type,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu
57,posminusneg_noCloseResponse,0.427221336148327,-1.4456015991722,-2.95436671743953,0.408503311451202,-1.28731731259498,-2.71428933079759,0.350271610723458,-1.30616956588616,-2.96430879577379,-5.1177046327659,-5.16772885783839,-3.9739085464157,-3.98247158762703,0.485212329098959,-1.4727689100509,-1.76526005726737
58,posminusneg_noCloseResponse,0.616325393002494,-1.31046194798274,-3.83715298385251,0.608214145444425,-1.19415949608317,-3.46485304758981,0.620121350946987,-1.144422871477,-3.59689150708093,-4.90269469336746,-4.97110435309411,-4.3167402523562,-4.39445732597219,0.594400447378614,-1.199074971352,-3.36397232110911
59,posminusneg_noCloseResponse,0.657855955229238,-2.49333767361375,-3.67884501439938,0.693698784295128,-2.44123002680361,-2.32056759385802,0.685087289013274,-2.35685818910833,-2.40853286516139,-3.71864952620211,-4.15092230749023,-3.43628328311923,-3.51885804678316,0.78297127881061,-2.31260551185508,-0.988265707664595
60,posminusneg_noCloseResponse,0.673439565575195,-1.54904070299156,-3.57008146360257,0.662557514225153,-1.43623299389706,-3.3404543919978,0.668692533101885,-1.450657752723,-3.31231168434765,-3.19418515010243,-3.13292158581537,-4.33032477565795,-4.30659475878512,0.672260534979311,-1.48155943447635,-3.55888165521463
61,posminusneg_noCloseResponse,0.528314720537218,-1.53938212566539,-3.07643181294646,0.53199022999981,-1.36034234354825,-2.79742339140755,0.540923983058481,-1.45626885549961,-2.52189800182525,-4.44912352872749,-4.64035633639582,-4.2255111153558,-4.1780503613859,0.548626912571294,-1.33730865188459,-2.96280270702682
62,posminusneg_noCloseResponse,0.534150556446665,-1.75336654487321,-3.28478428740792,0.526507823944174,-1.68624911754993,-3.5620909951857,0.527072589473533,-1.71277905287871,-3.31759336957837,-5.07532747922728,-5.07748299162862,-3.5108453071728,-3.17431215346368,0.519466927171652,-1.56780539444348,-3.68521896766768
63,posminusneg_noCloseResponse,0.669428426037665,-1.26558323144767,-4.52605245130698,0.670813545994406,-1.18602629753164,-4.68916087015606,0.670288701780488,-1.1924826901431,-4.66637415633641,-5.29361023069274,-5.26644051954357,-4.64895451094217,-4.63173856870659,0.671383048678306,-1.18111571177723,-4.7173453964118
64,posminusneg_noCloseResponse,0.549744120134596,-1.77271793036118,-3.90484822101615,0.537041918927935,-1.76977336031035,-4.47177733979143,0.537272344217555,-1.75382461778508,-4.44092471581694,-5.12111878519342,-5.11337957768616,-4.47119694918566,-4.45921802929548,0.53824647975993,-1.75434363585837,-4.473958889311
65,posminusneg_noCloseResponse,0.54279903331368,-1.30236861677299,-4.48312236228346,0.540125732440783,-1.23882590982659,-4.65512282812975,0.541794934914063,-1.22085560306609,-4.63669466922337,-5.27141802464292,-5.24874603575624,-4.5315491441025,-4.52654683225718,0.541022074388599,-1.25620495501577,-4.65489159188114
66,posminusneg_noCloseResponse,0.647002534863553,-1.77241394016232,-2.57881373568328,0.598714747104171,-1.69758969502222,-1.90137192505024,0.594726641913581,-1.65740228064698,-2.06772180296495,-5.62170909458876,-5.59481263291698,-4.521340048053,-4.50012426880878,0.600994798628001,-1.73619827891388,-1.96802546482402
