subject,Local.Date.D1,wof_order,wofoutcome1,Local.Date.D2,wofoutcome2,Local.Date.D1.Day,Local.Date.D2.Day,day_diff
158,2021-02-25T22:55:44Z,Winsec,0,2021-02-27T16:14:42Z,1,2021-02-25,2021-02-27,2
231,2021-02-25T23:04:46Z,Winsec,0,2021-02-27T18:04:03Z,1,2021-02-25,2021-02-27,2
168,2021-02-25T23:23:04Z,Winfirst,1,2021-02-27T19:35:13Z,0,2021-02-25,2021-02-27,2
179,2021-02-25T23:48:51Z,Winsec,0,2021-02-27T14:59:15Z,1,2021-02-25,2021-02-27,2
2,2021-02-25T23:07:24Z,Winsec,0,2021-02-28T17:03:52Z,1,2021-02-25,2021-02-28,3
332,2021-02-26T00:35:42Z,Winfirst,1,2021-02-27T13:11:45Z,0,2021-02-26,2021-02-27,1
252,2021-02-26T00:46:16Z,Winsec,0,2021-02-27T13:00:51Z,1,2021-02-26,2021-02-27,1
311,2021-02-26T00:46:22Z,Winsec,0,2021-02-27T13:28:38Z,1,2021-02-26,2021-02-27,1
225,2021-02-26T00:51:34Z,Winfirst,1,2021-02-27T15:02:53Z,0,2021-02-26,2021-02-27,1
8,2021-02-25T23:51:41Z,Winsec,0,2021-02-27T14:23:10Z,1,2021-02-25,2021-02-27,2
267,2021-02-25T16:52:21Z,Winsec,0,2021-02-27T16:13:04Z,1,2021-02-25,2021-02-27,2
33,2021-02-25T20:56:32Z,Winfirst,1,2021-02-27T11:42:57Z,0,2021-02-25,2021-02-27,2
295,2021-02-26T01:12:53Z,Winsec,0,2021-02-27T15:44:38Z,1,2021-02-26,2021-02-27,1
40,2021-02-26T01:13:05Z,Winsec,0,2021-02-27T15:38:02Z,1,2021-02-26,2021-02-27,1
199,2021-02-26T01:16:03Z,Winsec,0,2021-02-28T01:17:56Z,1,2021-02-26,2021-02-28,2
246,2021-02-26T00:30:54Z,Winfirst,1,2021-02-27T12:05:16Z,0,2021-02-26,2021-02-27,1
281,2021-02-26T02:31:55Z,Winfirst,1,2021-02-27T14:16:44Z,0,2021-02-26,2021-02-27,1
105,2021-02-26T03:47:55Z,Winfirst,1,2021-03-01T17:56:27Z,0,2021-02-26,2021-03-01,3
185,2021-02-26T03:01:15Z,Winsec,0,2021-02-27T13:40:17Z,1,2021-02-26,2021-02-27,1
153,2021-02-26T08:15:04Z,Winsec,0,2021-02-27T18:18:23Z,1,2021-02-26,2021-02-27,1
10,2021-02-25T23:37:38Z,Winfirst,1,2021-02-27T09:26:58Z,0,2021-02-25,2021-02-27,2
163,2021-02-26T05:52:28Z,Winfirst,1,2021-02-27T13:11:07Z,0,2021-02-26,2021-02-27,1
155,2021-02-26T08:34:10Z,Winfirst,1,2021-02-27T13:54:20Z,0,2021-02-26,2021-02-27,1
171,2021-02-26T07:43:40Z,Winfirst,1,2021-02-27T14:36:30Z,0,2021-02-26,2021-02-27,1
100,2021-02-26T08:36:25Z,Winsec,0,2021-03-01T10:25:49Z,1,2021-02-26,2021-03-01,3
220,2021-02-26T08:50:11Z,Winsec,0,2021-02-27T14:28:35Z,1,2021-02-26,2021-02-27,1
275,2021-02-26T08:52:40Z,Winsec,0,2021-02-27T17:56:47Z,1,2021-02-26,2021-02-27,1
115,2021-02-26T09:49:19Z,Winsec,0,2021-02-27T14:45:00Z,1,2021-02-26,2021-02-27,1
34,2021-02-26T09:55:05Z,Winsec,0,2021-02-27T12:51:41Z,1,2021-02-26,2021-02-27,1
195,2021-02-26T11:21:29Z,Winsec,0,2021-02-28T20:54:50Z,1,2021-02-26,2021-02-28,2
259,2021-02-26T09:28:25Z,Winfirst,1,2021-02-27T17:32:34Z,0,2021-02-26,2021-02-27,1
178,2021-02-26T10:28:39Z,Winfirst,1,2021-02-27T12:57:40Z,0,2021-02-26,2021-02-27,1
15,2021-02-26T10:31:18Z,Winfirst,1,2021-02-28T11:12:49Z,0,2021-02-26,2021-02-28,2
65,2021-02-26T10:46:06Z,Winsec,0,2021-02-27T13:32:33Z,1,2021-02-26,2021-02-27,1
