subject,run,mu,s,vmu,kmu,vs,trial_id,day_block,moodrate,max_moodrate,min_moodrate,mu_orig,subj_day_block
72,d2r1,0.499999999999997,-1.5794510025751,-3.45860913267077,-3.14918900726077,-2.97105771890507,4,day2_block1,5,6,3,4.99999999999997,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.499999999999995,-1.73234067006121,-3.85641587272526,-3.67473226255775,-3.49869203066355,5,day2_block1,6,6,3,4.99999999999995,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.537962977352883,-1.55724062872338,-3.67984454240786,-3.76449082652859,-3.53919024567244,6,day2_block1,5,6,3,5.37962977352883,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.528713295923659,-1.62088593436304,-4.12024154257236,-4.28205975836993,-3.80483489757868,7,day2_block1,5,6,3,5.28713295923659,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.528925733469235,-1.68249368673309,-4.27256957438114,-4.49598311057608,-3.95023846331825,8,day2_block1,5,6,3,5.2892573346923495,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.529611156466137,-1.7224346146225,-4.36626716905447,-4.63488482662381,-4.04689925753501,9,day2_block1,5,6,3,5.29611156466137,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.530242034164059,-1.75070880575468,-4.43008579170375,-4.73215093639778,-4.1200681445998,10,day2_block1,5,6,3,5.30242034164059,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.530761943422418,-1.77204495293781,-4.47584795283162,-4.80356415821898,-4.17970323361714,11,day2_block1,4,6,3,5.30761943422418,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.483985639057226,-1.49649646439225,-3.79497879413726,-4.48005516845093,-3.95260933932836,12,day2_block1,4,6,3,4.83985639057226,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.448816577776543,-1.57751562847566,-3.32614372024548,-4.40857550935887,-4.01710527723525,13,day2_block1,4,6,3,4.48816577776543,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.426789926094064,-1.76374605738588,-2.91179595909653,-4.37224359538589,-3.95161976018515,14,day2_block1,4,6,3,4.2678992609406405,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.40999188119475,-2.0825801267524,-2.5523800173062,-4.26530827509564,-3.52424099801832,15,day2_block1,4,6,3,4.0999188119475,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.400063398962276,-2.5178480193904,-2.39237857149936,-4.11598631724934,-2.72288969098429,16,day2_block1,4,6,3,4.00063398962276,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.39627751079622,-2.9297766111769,-2.40986015998352,-3.98340775381185,-1.90920456385195,17,day2_block1,6,6,3,3.9627751079622,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.552069657674974,-2.62119602494837,-1.13053240309847,-0.902970971926822,-2.07561402643156,18,day2_block1,5,6,3,5.52069657674974,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.48568365387243,-1.53181198460903,-2.90240473794586,-4.0658030577962,-3.76254687613391,19,day2_block1,5,6,3,4.8568365387243,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.483908624026545,-1.52801123969689,-3.23583734221156,-4.46998996592912,-4.03520676548216,20,day2_block1,5,6,3,4.83908624026545,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.483308863636041,-1.54400366704352,-3.36476410998364,-4.6085585168763,-4.15761873445428,21,day2_block1,5,6,3,4.83308863636041,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.482989240006732,-1.56001899551476,-3.43658235532334,-4.67025169447856,-4.22768681169651,22,day2_block1,5,6,3,4.82989240006732,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.482843293103532,-1.57516679956796,-3.48466260163627,-4.69938912333338,-4.27323167460708,23,day2_block1,4,6,3,4.82843293103532,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.457604462736742,-1.48682350984188,-3.84505803652268,-5.00940444231249,-4.34081473513965,24,day2_block1,5,6,3,4.57604462736742,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.466553912866495,-1.47548487041862,-4.05093229446479,-5.04031197805635,-4.37799003686619,25,day2_block1,5,6,3,4.66553912866495,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.468117346637302,-1.4915648805927,-4.08382906159148,-5.05284588563188,-4.39251391686768,26,day2_block1,5,6,3,4.68117346637302,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.468840913074538,-1.50680293973019,-4.10189908435181,-5.05862128807965,-4.39998608280272,27,day2_block1,5,6,3,4.68840913074538,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.469287226892508,-1.5210735229704,-4.1150621716506,-5.06072821264179,-4.40296819197098,28,day2_block1,5,6,3,4.69287226892508,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.469612151249223,-1.53463672675823,-4.12538341979194,-5.06035325184174,-4.40286102394466,29,day2_block1,5,6,3,4.69612151249223,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.46987427311262,-1.54767563103522,-4.13371893209475,-5.05804087744032,-4.40056289819966,30,day2_block1,4,6,3,4.6987427311262,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.461573458229499,-1.50633744362935,-4.29612435174998,-5.09433047481848,-4.46706718126791,31,day2_block1,3,6,3,4.615734582294991,5e31a1526ef37a1879a94441_day2_block1
72,d2r1,0.412215230451895,-1.48725428003978,-3.31780336525212,-4.98239103773005,-4.38678716551327,32,day2_block1,4,6,3,4.12215230451895,5e31a1526ef37a1879a94441_day2_block1
