subject,run,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu,subj_day_block
185,d2r1,0.609861100944248,-1.03508832799138,-2.59452007117104,0.710865100973124,-0.928935988160207,-2.24378138520294,0.692174805023075,-0.983866816608603,-2.36210840822749,-5.3198401991015,-5.35641942045133,-4.5355805022476,-4.49821464771712,0.766037565141547,-1.00036537531415,-1.73443561122289,5f25bd8a33e9fd0ad8fce3d4_day2_block1
185,d2r2,0.682916264187541,-1.08918824282692,-2.4299929608865,0.699601658921292,-1.25084800584736,-1.51709217662721,0.641801467853256,-1.30524479648768,-1.47581740749371,-5.50542521252438,-5.43157393009117,-4.30177005145649,-4.18152468849143,0.697860902385531,-1.26236387108105,-1.5590875458198,5f25bd8a33e9fd0ad8fce3d4_day2_block2
186,d1r1,0.530430222474011,-0.77220700201808,-2.70276853201743,0.562306249519949,-0.757480058087552,-4.2876525795393,0.531124063114826,-0.53164825871977,-3.83846574018915,-5.00587832102959,-4.87120697070864,0.158254269483217,-1.38075088798928,0.540768566234335,-0.433133570373755,-4.18149409499481,5f285902166da3151b01faf2_day1_block1
186,d1r2,0.484130299964966,-0.171111721167008,-3.24557739019185,0.436481565735991,0.14677959528681,-4.22895254063269,0.431899969298516,0.153692586569405,-4.16983926010501,-5.11543989016446,-5.08583625915878,-4.57809451256984,-4.56134321081695,0.451370035815198,0.144943449538323,-4.28634769157262,5f285902166da3151b01faf2_day1_block2
186,d2r1,0.522162565541801,-0.972183369807759,-1.48458118795652,0.540836586503603,-0.810705006577465,-0.689787867950529,0.431491168478005,-0.892671698841712,-0.647296819188928,-5.60902920766107,-5.54843338632361,-4.26763998183187,-4.24037737819091,0.581518813926497,-0.80146475984936,-0.709710477989324,5f285902166da3151b01faf2_day2_block1
186,d2r2,0.541323458898142,-0.556994914430091,-2.88574377538401,0.540437241387098,-0.285296152972842,-3.80809642665463,0.522622517869907,-0.301469550379877,-3.67401140058629,-5.12707475656789,-5.09250719311212,-4.57777804182395,-4.54348971802132,0.52430763825802,-0.209318073808542,-4.07341579613451,5f285902166da3151b01faf2_day2_block2
187,d1r1,0.712924204323735,-0.40629037187756,-2.78400610877583,0.692457310020048,-0.419644124188626,-1.9278409681855,0.63135813537958,-0.451794643873424,-1.96621454456611,-5.0654703210353,-5.07721413408708,-4.31542638729976,-4.26035605565719,0.719675230843551,-0.329814236746944,-2.0237831318396,5f2a94aba340af2e4dab2910_day1_block1
187,d1r2,0.643408385402301,-0.58031889355932,-2.6518819118074,0.624138378458065,-0.990848157289631,-3.38767247220102,0.607633794692589,-1.0490483422203,-3.25996477392274,-2.68659460941025,-2.84731163085274,0.448907344001004,-0.200397184893928,0.649292119354087,-0.855535544722978,-3.08182502184537,5f2a94aba340af2e4dab2910_day1_block2
187,d2r1,0.667040717970384,-0.672329718244189,-3.38756690856067,0.614499694730887,-0.993811742026395,-4.63330454874037,0.614820403211832,-1.01992655672812,-4.62264975323822,-5.22134628648907,-5.20821769821505,2.06503559580203,2.13111248739661,0.627121189876378,-0.741283811617798,-4.48440425322595,5f2a94aba340af2e4dab2910_day2_block1
187,d2r2,0.575115287815537,-1.17926016423197,-3.74307059429102,0.519931582724321,-1.28420231736082,-3.28031180789055,0.511743311175358,-1.29640406793863,-3.24318214300994,-3.67754507730923,-3.70720221298261,-2.30269081714648,-1.8228245944655601,0.530234002577738,-1.31764909141828,-3.66208289352969,5f2a94aba340af2e4dab2910_day2_block2
